,combinations (l),address (location_list)
0,"[1, 2, 3, 4]","[(0, 0), (1, 0), (2, 0), (3, 0)]"
1,"[1, 2, 3, 5]","[(0, 0), (1, 0), (2, 0), (0, 1)]"
2,"[1, 2, 3, 6]","[(0, 0), (1, 0), (2, 0), (1, 1)]"
3,"[1, 2, 3, 7]","[(0, 0), (1, 0), (2, 0), (2, 1)]"
4,"[1, 2, 3, 8]","[(0, 0), (1, 0), (2, 0), (3, 1)]"
5,"[1, 2, 4, 5]","[(0, 0), (1, 0), (3, 0), (0, 1)]"
6,"[1, 2, 4, 6]","[(0, 0), (1, 0), (3, 0), (1, 1)]"
7,"[1, 2, 4, 7]","[(0, 0), (1, 0), (3, 0), (2, 1)]"
8,"[1, 2, 4, 8]","[(0, 0), (1, 0), (3, 0), (3, 1)]"
9,"[1, 2, 5, 6]","[(0, 0), (1, 0), (0, 1), (1, 1)]"
10,"[1, 2, 5, 7]","[(0, 0), (1, 0), (0, 1), (2, 1)]"
11,"[1, 2, 5, 8]","[(0, 0), (1, 0), (0, 1), (3, 1)]"
12,"[1, 2, 6, 7]","[(0, 0), (1, 0), (1, 1), (2, 1)]"
13,"[1, 2, 6, 8]","[(0, 0), (1, 0), (1, 1), (3, 1)]"
14,"[1, 2, 7, 8]","[(0, 0), (1, 0), (2, 1), (3, 1)]"
15,"[1, 3, 4, 5]","[(0, 0), (2, 0), (3, 0), (0, 1)]"
16,"[1, 3, 4, 6]","[(0, 0), (2, 0), (3, 0), (1, 1)]"
17,"[1, 3, 4, 7]","[(0, 0), (2, 0), (3, 0), (2, 1)]"
18,"[1, 3, 4, 8]","[(0, 0), (2, 0), (3, 0), (3, 1)]"
19,"[1, 3, 5, 6]","[(0, 0), (2, 0), (0, 1), (1, 1)]"
20,"[1, 3, 5, 7]","[(0, 0), (2, 0), (0, 1), (2, 1)]"
21,"[1, 3, 5, 8]","[(0, 0), (2, 0), (0, 1), (3, 1)]"
22,"[1, 3, 6, 7]","[(0, 0), (2, 0), (1, 1), (2, 1)]"
23,"[1, 3, 6, 8]","[(0, 0), (2, 0), (1, 1), (3, 1)]"
24,"[1, 3, 7, 8]","[(0, 0), (2, 0), (2, 1), (3, 1)]"
25,"[1, 4, 5, 6]","[(0, 0), (3, 0), (0, 1), (1, 1)]"
26,"[1, 4, 5, 7]","[(0, 0), (3, 0), (0, 1), (2, 1)]"
27,"[1, 4, 5, 8]","[(0, 0), (3, 0), (0, 1), (3, 1)]"
28,"[1, 4, 6, 7]","[(0, 0), (3, 0), (1, 1), (2, 1)]"
29,"[1, 4, 6, 8]","[(0, 0), (3, 0), (1, 1), (3, 1)]"
30,"[1, 4, 7, 8]","[(0, 0), (3, 0), (2, 1), (3, 1)]"
31,"[1, 5, 6, 7]","[(0, 0), (0, 1), (1, 1), (2, 1)]"
32,"[1, 5, 6, 8]","[(0, 0), (0, 1), (1, 1), (3, 1)]"
33,"[1, 5, 7, 8]","[(0, 0), (0, 1), (2, 1), (3, 1)]"
34,"[1, 6, 7, 8]","[(0, 0), (1, 1), (2, 1), (3, 1)]"
35,"[2, 3, 4, 5]","[(1, 0), (2, 0), (3, 0), (0, 1)]"
36,"[2, 3, 4, 6]","[(1, 0), (2, 0), (3, 0), (1, 1)]"
37,"[2, 3, 4, 7]","[(1, 0), (2, 0), (3, 0), (2, 1)]"
38,"[2, 3, 4, 8]","[(1, 0), (2, 0), (3, 0), (3, 1)]"
39,"[2, 3, 5, 6]","[(1, 0), (2, 0), (0, 1), (1, 1)]"
40,"[2, 3, 5, 7]","[(1, 0), (2, 0), (0, 1), (2, 1)]"
41,"[2, 3, 5, 8]","[(1, 0), (2, 0), (0, 1), (3, 1)]"
42,"[2, 3, 6, 7]","[(1, 0), (2, 0), (1, 1), (2, 1)]"
43,"[2, 3, 6, 8]","[(1, 0), (2, 0), (1, 1), (3, 1)]"
44,"[2, 3, 7, 8]","[(1, 0), (2, 0), (2, 1), (3, 1)]"
45,"[2, 4, 5, 6]","[(1, 0), (3, 0), (0, 1), (1, 1)]"
46,"[2, 4, 5, 7]","[(1, 0), (3, 0), (0, 1), (2, 1)]"
47,"[2, 4, 5, 8]","[(1, 0), (3, 0), (0, 1), (3, 1)]"
48,"[2, 4, 6, 7]","[(1, 0), (3, 0), (1, 1), (2, 1)]"
49,"[2, 4, 6, 8]","[(1, 0), (3, 0), (1, 1), (3, 1)]"
50,"[2, 4, 7, 8]","[(1, 0), (3, 0), (2, 1), (3, 1)]"
51,"[2, 5, 6, 7]","[(1, 0), (0, 1), (1, 1), (2, 1)]"
52,"[2, 5, 6, 8]","[(1, 0), (0, 1), (1, 1), (3, 1)]"
53,"[2, 5, 7, 8]","[(1, 0), (0, 1), (2, 1), (3, 1)]"
54,"[2, 6, 7, 8]","[(1, 0), (1, 1), (2, 1), (3, 1)]"
55,"[3, 4, 5, 6]","[(2, 0), (3, 0), (0, 1), (1, 1)]"
56,"[3, 4, 5, 7]","[(2, 0), (3, 0), (0, 1), (2, 1)]"
57,"[3, 4, 5, 8]","[(2, 0), (3, 0), (0, 1), (3, 1)]"
58,"[3, 4, 6, 7]","[(2, 0), (3, 0), (1, 1), (2, 1)]"
59,"[3, 4, 6, 8]","[(2, 0), (3, 0), (1, 1), (3, 1)]"
60,"[3, 4, 7, 8]","[(2, 0), (3, 0), (2, 1), (3, 1)]"
61,"[3, 5, 6, 7]","[(2, 0), (0, 1), (1, 1), (2, 1)]"
62,"[3, 5, 6, 8]","[(2, 0), (0, 1), (1, 1), (3, 1)]"
63,"[3, 5, 7, 8]","[(2, 0), (0, 1), (2, 1), (3, 1)]"
64,"[3, 6, 7, 8]","[(2, 0), (1, 1), (2, 1), (3, 1)]"
65,"[4, 5, 6, 7]","[(3, 0), (0, 1), (1, 1), (2, 1)]"
66,"[4, 5, 6, 8]","[(3, 0), (0, 1), (1, 1), (3, 1)]"
67,"[4, 5, 7, 8]","[(3, 0), (0, 1), (2, 1), (3, 1)]"
68,"[4, 6, 7, 8]","[(3, 0), (1, 1), (2, 1), (3, 1)]"
69,"[5, 6, 7, 8]","[(0, 1), (1, 1), (2, 1), (3, 1)]"
